yu2	与予于亐伃余俞兪唹堣堬妤娛娯娱媀嬩崳嵎嵛愉愚扵揄於旟杅桙楡楰榆欤歈歟歶渔渝湡漁澞狳玗玙瑜璵畬畭盂睮硢禺窬竽籅緰羭腴臾舁舆艅茰萸蕍蘛虞蝓螸衧褕覦觎諛謣谀踰輿轝逾邘鄃釪鍝隃隅雓雩雽餘馀骬髃魚魣鮽鰅鱼鵌鷠鸆鸒齵
mian3	丏俛偭免冕勉勔喕娩愐汅沔渑湎澠眄絻緬缅腼靦鮸麫黽黾
gai4	丐乢匃匄戤摡概槩槪溉漑瓂盖芥蓋鈣钙魪
chou3	丑丒侴吜杻杽瞅矁莥醜魗
zhuan1	专剸叀塼嫥専專瑼甎砖磚篿耑膞蟤鄟顓颛鱄鷒
qie3	且
ju1	且俱倶凥刟娵居崌抅拘拠据掬揟據斪椐毱沮泃涺狙琚疽痀眗罝腒艍苴葅蛆蜛裾諊趄跔踙車輋车鋦鋸锔锯雎鞠鞫駒驹鮈鯺鴡鶋
pi1	丕伾劈匹噼坏坯壊壞怌怶憵批披抷旇炋狉狓砒磇礕秛秠紕纰翍耚被豾辟邳釽鈹鉟銔铍闢霹駓髬鴄
shi4	世丗亊事仕似佀使侍冟势勢卋卶叓呩嗜噬士奭媞嬕室峙崼市式弑弒徥恃戠戺拭揓是昰枾柹柿氏澨烒眂眎睗示礻筮簭翨舐舓莳蒔螫衋褆襫視视詍試誓諟諡謚識试谥貰贳跩軾轼适逝適遾釈释釋鈰鉃鉽銴鋬铈飾餙餝饰齛
qiu1	丘丠亀偢坵媝恘楸湫秋秌穐篍緧萩蓲蚯蝵蟗蠤趥邱鞦鞧鰌鰍鱃鳅鶖鹙龜龝龟
bing3	丙屏庰怲抦昞昺柄棅炳琕眪禀秉稟窉苪蛃邴鈵鉼陃鞞餅餠饼
ye4	业亱偞僷叶咽哗嘩墷夜射嶪嶫忦拽掖擛擪擫晔曄曅曗曳枼業殗殜液澲烨煠燁皣瞱瞸腋葉謁谒邺鄴鍱鎑鐷靥靨頁页餣饁馌驜鵺鸈
cong2	丛从叢婃孮従徖從悰慒樷淙漎潀灇爜琮誴賨賩錝
dong1	东倲冬咚埬娻岽崠崬昸東氡氭涷炵笗苳菄蝀鯟鶇鸫鼕
si1	丝俬偲凘厮厶厷司咝嘶噝媤廝思恖撕斯楒榹泀澌燍磃禗私絲緦缌罳蕬蛳蜤螄蟖蟴覗謕鉰鋖鍶锶颸飔騦鷥鸶鼶
cheng2	丞乗乘呈城埕堘塍塖娍宬峸惩憕懲成承挰掁揨晟枨棖椉橙洆澂澄瀓珵珹畻盛程窚筬絾脀脭荿裎誠诚郕酲鋮铖騬
diu1	丟丢乣銩铥
liang3	両两俩倆兩唡啢掚緉脼蜽裲魉魎
you3	丣卣友岰庮有梄槱泑湵牖禉羐羑聈脜苃莠蜏酉銪铕黝
yan2	严厳嚴圤塩壛壧妍姸娫娮孍岩嵒嵓巌巖巗延揅昖楌檐櫩沿湺炎狿琂癌盐研硏碞礹筵簷綖芫莚葕蔅虤蜒言訁詽讠郔鈆鉛铅閆閰閻闫阎阽顃顏顔颜鹽麙麣
bing4	並併倂偋傡寎并幷摒柄栤病竝靐鮩鵧
sang1	丧喪枽桑桒
sang4	丧喪
sang5	丧
shu4	丨侸俞倏儵兪凁墅尌庶庻恕戍捒数數曙术束树樜樹沭漱潄澍濖疏竖竪絉署翛腧蒁術裋豎述鉥錰鏣鶐
jiu1	丩勼啾揂揪揫朻樛湫牞究糺糾纠萛觓赳轇阄鬏鬮鳩鸠
ge4	个個各嗰硌箇虼鉻铬鶮
ge3	个各合哿擖盖笴舸葛葢蓋騔魺
ya1	丫压呀哑唖啞圧垭埡壓孲庘押桠椏煆雅鴉鴨鵶鸦鸭
qiang2	丬墙墻嫱嬙廧弜強强彊樯檣漒爿牆艢蔃蔷薔蘠軖
pan2	丬噃媻幋搫槃瀊爿盘盤磐磻縏胖般蒰蟠跘踫蹒蹣鎜鞶
zhong1	中伀刣妐幒彸忠忪柊汷泈潨炂煄盅籦終终舯蔠螽衳衷蹱鈡銿鍾鐘钟锺鴤
zhong4	中乑仲众偅堹妕媑尰湩狆眾种種筗緟茽蚛衆衶諥重
ji3	丮几剞妀己幾戟挤掎撠擠泲济濟穖給纪给脊虮蟣革魕魢鱾麂
jie4	丯介价価借吤唶堺屆届岕庎徣悈戒楐犗玠琾界畍疥痎砎祴紒繲艥芥藉蚧褯解觧誡诫躤鎅骱魀
feng1	丰仹偑僼凨凬凮妦寷封峯峰崶捀枫桻楓檒沣沨灃烽熢犎猦疯瘋盽砜碸篈莑葑蘴蜂蠭諷豊豐鄷酆鋒鏠锋靊風飌风麷
guan4	丱冠悹悺惯慣掼摜樌毌泴涫潅灌爟瓘盥矔礶祼罆罐観觀观謴貫贯遦鏆鑵雚鱹鸛鹳
chuan4	串剏汌玔賗釧钏
chan3	丳产冁刬剗剷啴嘽囅嵼幝摌旵浐滻灛燀產産簅繟蒇蕆諂譂讇谄鏟铲閳闡阐骣
lin2	临僯厸啉壣嶙惏斴晽暽林淋潾瀶燐獜琳璘甐疄痳瞵矝碄磷秘箖粦粼繗罧翷臨蹸轔轥辚遴邻鄰鏻隣霖驎鱗鳞麐麟
zhuo1	丵倬卓拙捉晫桌棁棹涿焯穛
zhu3	丶主嘱囑壴孎属屬拄斸欘渚濐煑煮眝瞩矚砫罜著褚詝貯陼麈
dian3	丶典嚸奌婰点琠碘蕇踮錪點
wan2	丸刓婠完岏抏汍烷玩琓紈纨芄頑顽
dan1	丹儋勯匰单単單嚪妉媅担擔殚殫甔瘅癉眈砃箪簞耼耽聃聸襌躭郸鄲酖頕
wei2	为危唯囗囲围圍圩嵬巍帏帷幃微惟桅欈沩洈涠湋潍潙潿濰濻瀢為爲琟癓矀維维薇覹违違鄬醀鍏闈闱霺韋韦鮠
wei4	为亹位偽卫味喂媦嬒尉徻慰懀未渭為熭爲犚犩猬璏畏硙磑穌緭罻胃苿菋蔚薉藯蘶蜼蝟螱衛衞褽謂讆讏谓贀躗躛軎轊遗遺錗鏏霨餧餵魏鮇鳚
jing3	丼井儆刭剄宑憬憼景暻汬烴燛璟璥穽肼蟼警阱頚頸颈
dan3	丼亶刐担掸撢撣擔澸玬瓭疸瘅癉紞胆膽衴賧赕黵
li4	丽例俐俪傈儮儷凓利力励勵历厉厤厯厲吏呖唎唳嚦囇坜塛壢娳婯屴岦峲巁悧悷慄戻戾搮攦攭斄暦曆曞朸枥栎栗栛栵棙檪櫟櫪欐歴歷沥沴浰涖溧濿瀝爄爏犡猁珕琍瑮瓅瓑瓥疠疬痢癘癧皪盭矋砅砬砺砾磿礪礫礰禲秝立笠筣篥粒粝糲綟纅脷苈苙茘荔莅莉蒞藓藶蘚蚸蛎蛠蜧蝷蠇蠣蠫觻詈讈赲跞躒轢轣轹郦酈釙鉝隶隷隸雳雴靂靋鬁鬲鱱鱳鳨鴗鷅鷑麗麜
li2	丽刕剓剺劙厘喱嚟囄嫠孋孷廲悡攡梨梩梸棃樆氂漓漦灕犁犂犛狸猍璃瓈睝离穲篱籬粍粚糎縭缡罹艃菞蓠蔾藜蘺蜊蟍蟸蠡褵謧貍邌醨釐鋫錅鏫鑗離騹驪骊鯬鱺鲡鵹鸝鹂麗麶黎黐黧
ju3	举咀弆挙擧枸柜椇楀榉櫃櫸欅沮矩窼竘筥舉莒蒟蝺袓跙踽齟龃
pie3	丿撇苤鐅
fu2	乀仏伏佛俘凫刜匐咈咉垘夫孚岪巿帗幅幞弗彿怫懯払扶拂昲服枎枹柫桴棴氟沷洑浮涪澓炥烰玸琈甶畉癁砩祓福稃符笰紱紼絥綍縛绂绋罘翇艀艴芙芾苻茀茯莩菔葍虙蚨蜉蝠袚袱諨踾輻辐郛鉘鉜韍韨颫髴鮄鳧鳬鴔鵩鶕鶝黻
yi2	乁仪侇儀冝匜咦圯夷姨宐宜宧寲峓嶷巸弬彛彜彝彞怡恞悘扅暆杝柂栘桋椸歋沂沶洟熪珆瓵疑痍眙眤眱移箷簃羠胰苐荑萓虵蛇蛦螔衪袘袲觺訑詒誼謻讉诒貤貽贻跠迆迤迻遗遺酏鈘鈶銕頉頤頥顊颐飴饴鮧鸃
yi4	乂义亄亦亿仡伇伿佚佾俋億兿刈劓劮勚勩呓呭呹唈嗌噫囈圛垼埶埸墿奕嫕嬑嬟寱屹峄嶧帟帠幆廙异弈弋役忆怈怿悒悥意憶懌懿抑抴挹捙掖撎敡斁易晹曀曎曳杙枍枻栧棭榏槷槸檍欭歝殔殪毅泆洂浂浥浳液湙溢潩澺瀷炈焲熠熤熼燡燱獈玴異疫痬瘗瘞瘱癔益瞖秇穓竩緆縊繶繹绎缢羛義羿翊翌翳翼肄肊腋膉臆艗艺艾芅苅蓺薏藙藝蘙虉蛡蜴螠衣袣裔裛褹襼訲訳詣誼謚譯議讛议译诣谊豙豛豷跇軼轶逸邑酏醳醷釴鈠鎰鐿镒镱阝阣隿霬靾鞥顡食饐駅驛驿骮鯣鷁鷧鷾鹝鹢黓齸
ai4	乂伌僾叆哎唉嗌嗳噯堨塧嫒嬡愛懓懝暧曖欸濭爱瑷璦皧瞹砹硋碍礙艾薆譪賹鑀隘靉鱫鴱
nai3	乃哪奈奶妳嬭廼氖氝疓艿迺釢
jiu3	久乆九奺灸玖糾紤舏赳酒镹韭韮
tuo1	乇侂侻咃堶托扥拕拖挩捝汑沰涶矺脫脱託詑讬饦馲魠
me5	么麼麽
ma5	么吗嗎嘛蟆
yao1	么吆喓夭妖幺楆祅約约腰葽要訞邀
zhi1	之倁卮只吱巵指掷搘支枝枳栀梔椥榰氏汁汥泜知祇祗祬秓秖秪竓竕綕織织肢胑胝脂芝蜘衹衼跖隻馶鳷鴟鴲鼅
wu1	乌兀剭呜嗚圬媉屋巫弙恶惡於杇歍汙汚污洿烏窏箼腛螐誣诬邬鄔鎢钨陓鰞鴮
wu4	乌兀务務勿卼噁坞埡堊塢奦婺寤屼岉嵍忢恶悞悟悪悮惡戊扤敄旿晤杌沕溩烏焐煟熃物痦矹窹粅芴蓩蘁誤误逜遻鋈阢隖雾霚霧靰騖骛鰞鶩鹜齀
zha4	乍吒咋咜咤搾柞柵栅榨溠灹炸痄簎蚱蜡蝋蠟詐诈醡鮓
hu1	乎匢匫吰呼唿啒嘑垀寣峘幠忽恗惚戏戯戲昒曶欻歑歘泘淲淴滹烀烼糊膴苸虍虖謼軤轷雐餬
fa2	乏伐傠垡姂栰栿牫疺笩筏罚罰罸茷藅閥阀
le4	乐仂勒叻哷埒忇扐楽樂氻泐玏砳竻簕肋艻阞頱鰳鳓
yue4	乐刖妜岄岳嶽恱悅悦戉抈捳曜月枂栎楽樂樾檪櫟泧瀹爚狘玥礿禴篗籆籥籰粤粵耀藥蘥蚎蚏說説说越趯跀跃躍軏鈅鉞鑰钥钺閱閲阅鸑鸙龠龥
ping1	乒俜娉焩砯聠覮頩
pang1	乓滂磅胮膀膖
qiao2	乔侨僑喬嘺嫶峤嶠嶣憔敿桥槗樵橋燆癄瞧硚礄簥翘翹荞蕉蕎藮譙谯趫鐈鞒鞽顦
hu3	乕唬汻浒滸琥萀虎虝許
hu4	乕互冱冴嚛婟嫭嫮岵帍弖怘怙戶户戸戽扈护摢昈枑楛槴沍沪滬熩瓠祜笏簄糊綔臛蔰虎虝謢護豰鄠頀餬鳠鳸鸌鹱
guai1	乖宔掴摑
sheng4	乗乘剩剰勝圣墭嵊晟晠椉榺琞盛聖胜蕂貹賸
